elapsedTsTime:3953255 elapsedTjTime:2854802
elapsedTsTime:2451211 elapsedTjTime:1812321
elapsedTsTime:4860756 elapsedTjTime:3538925
elapsedTsTime:2024149 elapsedTjTime:1427050
elapsedTsTime:4001548 elapsedTjTime:2366121
elapsedTsTime:1978829 elapsedTjTime:1400880
elapsedTsTime:1955291 elapsedTjTime:1342899
elapsedTsTime:2016527 elapsedTjTime:1430477
elapsedTsTime:1894097 elapsedTjTime:1317402
elapsedTsTime:1743226 elapsedTjTime:1368848
elapsedTsTime:1757690 elapsedTjTime:1378585
elapsedTsTime:1679007 elapsedTjTime:1305981
elapsedTsTime:2824448 elapsedTjTime:2071493
elapsedTsTime:1780481 elapsedTjTime:1377860
elapsedTsTime:3159231 elapsedTjTime:2313623
elapsedTsTime:3297069 elapsedTjTime:2806767
elapsedTsTime:2058003 elapsedTjTime:1325575
elapsedTsTime:2204348 elapsedTjTime:1471879
elapsedTsTime:1617607 elapsedTjTime:1258893
elapsedTsTime:9896452 elapsedTjTime:2718885
elapsedTsTime:2304196 elapsedTjTime:1472819
elapsedTsTime:1621555 elapsedTjTime:1252455
elapsedTsTime:1650244 elapsedTjTime:1257142
elapsedTsTime:1834584 elapsedTjTime:1427989
elapsedTsTime:1681955 elapsedTjTime:1266121
elapsedTsTime:2316517 elapsedTjTime:1642548
elapsedTsTime:1631577 elapsedTjTime:1287784
elapsedTsTime:1759113 elapsedTjTime:1361416
elapsedTsTime:1746084 elapsedTjTime:1342190
elapsedTsTime:1573421 elapsedTjTime:1196338
elapsedTsTime:1595164 elapsedTjTime:1236076
elapsedTsTime:1544291 elapsedTjTime:1210504
elapsedTsTime:4202177 elapsedTjTime:3809565
elapsedTsTime:1697461 elapsedTjTime:1324470
elapsedTsTime:1768463 elapsedTjTime:1324643
elapsedTsTime:1711498 elapsedTjTime:1277309
elapsedTsTime:1921422 elapsedTjTime:1294317
elapsedTsTime:1664687 elapsedTjTime:1349629
elapsedTsTime:1682604 elapsedTjTime:1370273
elapsedTsTime:1553487 elapsedTjTime:1247870
elapsedTsTime:1555840 elapsedTjTime:1251064
elapsedTsTime:1633821 elapsedTjTime:1274840
elapsedTsTime:1634978 elapsedTjTime:1343706
elapsedTsTime:1793234 elapsedTjTime:1476530
elapsedTsTime:1686469 elapsedTjTime:1283152
elapsedTsTime:1543739 elapsedTjTime:1262943
elapsedTsTime:1557969 elapsedTjTime:1268081
elapsedTsTime:2102356 elapsedTjTime:1454058
elapsedTsTime:1599607 elapsedTjTime:1292076
elapsedTsTime:1510801 elapsedTjTime:1238139
elapsedTsTime:1654344 elapsedTjTime:1375303
elapsedTsTime:1649219 elapsedTjTime:1330154
elapsedTsTime:1498335 elapsedTjTime:1216517
elapsedTsTime:1644493 elapsedTjTime:1328599
