elapsedTsTime:952921 elapsedTjTime:753368
elapsedTsTime:787191 elapsedTjTime:630489
elapsedTsTime:824824 elapsedTjTime:643369
elapsedTsTime:738719 elapsedTjTime:586631
elapsedTsTime:998909 elapsedTjTime:798942
elapsedTsTime:1071252 elapsedTjTime:890086
elapsedTsTime:946320 elapsedTjTime:738338
elapsedTsTime:725281 elapsedTjTime:592518
elapsedTsTime:793776 elapsedTjTime:651345
elapsedTsTime:940217 elapsedTjTime:763631
elapsedTsTime:719171 elapsedTjTime:565018
elapsedTsTime:744398 elapsedTjTime:609886
elapsedTsTime:1013736 elapsedTjTime:785664
elapsedTsTime:949742 elapsedTjTime:814772
elapsedTsTime:1224020 elapsedTjTime:948976
elapsedTsTime:892353 elapsedTjTime:730275
elapsedTsTime:845128 elapsedTjTime:656759
elapsedTsTime:2311604 elapsedTjTime:2155710
elapsedTsTime:806733 elapsedTjTime:661669
elapsedTsTime:915421 elapsedTjTime:743282
elapsedTsTime:1068740 elapsedTjTime:874092
elapsedTsTime:1068482 elapsedTjTime:923203
elapsedTsTime:881245 elapsedTjTime:735078
elapsedTsTime:3651188 elapsedTjTime:3256462
elapsedTsTime:1154906 elapsedTjTime:906303
elapsedTsTime:1165812 elapsedTjTime:912066
elapsedTsTime:1170921 elapsedTjTime:940790
elapsedTsTime:2424307 elapsedTjTime:2278282
elapsedTsTime:685606 elapsedTjTime:546889
elapsedTsTime:1014619 elapsedTjTime:798441
elapsedTsTime:772337 elapsedTjTime:615316
elapsedTsTime:1014993 elapsedTjTime:817501
elapsedTsTime:1118632 elapsedTjTime:924600
elapsedTsTime:2119639 elapsedTjTime:1907223
elapsedTsTime:1142103 elapsedTjTime:911188
elapsedTsTime:768686 elapsedTjTime:626605
elapsedTsTime:1083026 elapsedTjTime:911602
elapsedTsTime:2147992 elapsedTjTime:1984824
elapsedTsTime:749953 elapsedTjTime:611628
elapsedTsTime:1087197 elapsedTjTime:889149
elapsedTsTime:2233153 elapsedTjTime:2022466
elapsedTsTime:1992660 elapsedTjTime:1853221
elapsedTsTime:1411874 elapsedTjTime:1136629
elapsedTsTime:785717 elapsedTjTime:654395
elapsedTsTime:2161116 elapsedTjTime:1900086
elapsedTsTime:814454 elapsedTjTime:668505
elapsedTsTime:954613 elapsedTjTime:727094
elapsedTsTime:707047 elapsedTjTime:546106
elapsedTsTime:964350 elapsedTjTime:816698
elapsedTsTime:2600335 elapsedTjTime:2409959
elapsedTsTime:1100962 elapsedTjTime:866764
elapsedTsTime:933010 elapsedTjTime:744856
elapsedTsTime:898770 elapsedTjTime:710100
elapsedTsTime:2543649 elapsedTjTime:2359850
elapsedTsTime:1337606 elapsedTjTime:1068788
elapsedTsTime:835539 elapsedTjTime:680530
elapsedTsTime:1443423 elapsedTjTime:1310803
elapsedTsTime:1828592 elapsedTjTime:1704805
elapsedTsTime:780510 elapsedTjTime:634276
elapsedTsTime:1138784 elapsedTjTime:912998
elapsedTsTime:1467779 elapsedTjTime:1133237
elapsedTsTime:971145 elapsedTjTime:786704
elapsedTsTime:845031 elapsedTjTime:655313
elapsedTsTime:2175423 elapsedTjTime:2013379
elapsedTsTime:1212173 elapsedTjTime:954704
elapsedTsTime:1222527 elapsedTjTime:994115
elapsedTsTime:992244 elapsedTjTime:763973
elapsedTsTime:1070647 elapsedTjTime:834726
elapsedTsTime:1128067 elapsedTjTime:908026
elapsedTsTime:991396 elapsedTjTime:803469
elapsedTsTime:1147597 elapsedTjTime:893095
elapsedTsTime:688475 elapsedTjTime:552787
elapsedTsTime:991295 elapsedTjTime:816490
elapsedTsTime:2193196 elapsedTjTime:2025224
elapsedTsTime:1187123 elapsedTjTime:932383
elapsedTsTime:1126927 elapsedTjTime:924898
elapsedTsTime:1187871 elapsedTjTime:971854
elapsedTsTime:715243 elapsedTjTime:579877
elapsedTsTime:3328635 elapsedTjTime:3145075
elapsedTsTime:1049128 elapsedTjTime:841712
